id,title,artist,chart_date,chords
22,Never My Love,The 5th Dimension,1971-11-20,N|N|N|N|V|V|I|I|I|I|I|V|bVII|IV|I|vi|Imaj7|IVmaj7|I|I|V|bVII|IV|I|vi|I|IV|I|X|III7|vi7|X|II7|V|I|IV|IVmaj7|IV|iii|V|V|I|V|bVII|IV|I|I|vi|I|Vmaj7|II|I|V|bVII|IV|I|vi|I|IV|I|X|III7|vi7|X|II7|V|I|IVmaj7|IV|IV|iii7|IVmaj7|IVmaj7|N|I|I|vi|bVI|bVII|I|I|vi|bVI|bVII|I|I|vi|bVI|bVII|I|I|vi|bVI|bVII|bVII|I|I|N|N|N|N
23,And She Was,Talking Heads,1985-12-07,N|N|N|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|#IV|bII|bVI|bII|#IV|bVI|bII|#IV|bII|bVI|bII|#IV|bIII|bVI|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|IV|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|#IV|bII|bVI|bII|#IV|bVI|bII|#IV|bII|bVI|bII|#IV|bIII|bVI|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|v|v|bIII|bIII|v|v|bIII|bIII|bIII|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|I|IV|I|#IV|bII|bVI|bII|#IV|bVI|bII|#IV|bII|bVI|bII|#IV|bIII|bVI|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|IV|bVII|IV|I|I|N
25,Chicago,Graham Nash,1971-07-17,N|N|N|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|VII|VI|v|VII|VI|v|N|IV|VII|IV7|VII|VII|i|iv|i|iv|i|iv|i|iv|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|VII|VI|v|VII|VI|v|N|IV|VII|IV7|VII|IV|VII|IV7|VII|VII|VII|VII|i|iv|i|iv|i|iv|i|iv|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|VII|III|VII|III|i|iv|i|VII|VI|v|VII|VI|v|N|IV|VII|IV7|VII|IV|VII|IV7|VII|VII|VII|VII|VII|VII|N|VII|VI|V|VII|VI|V|VII|VI|V|V|VII|VI|V|VII|VI|V|VII|VI|V|VII|VI|V|VII|VI|V|VII|VI|V|VII|VI|V|VII|VI|V|V|N
26,Sweet Talkin' Guy,The Chiffons,1966-05-07,N|N|N|I|I|X|X|I|I|X|X|I|I|V|V|X|X|IV|IV|iv|iv|I|I|V7|V7|V7|V7|I|I|V|V|X|X|IV|IV|iv|iv|I|I|V7|V7|V7|V7|bIII|bVI|bII|V7|I|I|V|V|V|X|X|IV|IV|iv|iv|I|I|V7|V7|V7|V7|V7|I|I|V|V|X|X|IV|IV|iv|iv|I|I|V7|V7|V7|V7|V7|V7|I|I|V|V|X|X|IV|IV|iv|iv|I|I|I|N
27,Rock 'N' Roll Fantasy,Bad Company,1979-07-07,N|I7|I7|I7|I7|I7|I7|bVI|bVII|I7|bVI|bVII|I7|bVI|bVII|I7|I7|I7|I7|I7|I7|I7|I7|bVI|bVII|I7|bVI|bVII|I7|bVI|bVII|I7|I7|bVI|IV|bIII|bVII|IV|IV|bVI|IV|bIII|bVII|IV|IV|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|bVI|IV|bIII|bVII|IV|IV|bVI|IV|bIII|bVII|IV|IV|IV|I7|I7|I7|I7|I7|bVI|bVII|I7|bVI|bVII|I7|bVI|bVII|I7|I7|bVI|IV|bIII|bVII|IV|IV|bVI|IV|bIII|bVII|IV|IV|bVI|IV|bIII|bVII|IV|IV|bVI|IV|bIII|bVII|IV|IV|IV|IV|IV|IV|IV|IV|IV|IV|IV|IV|IV|N|N|N
29,The Joker,Steve Miller Band,1973-11-10,N|N|N|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|X|X|X|X|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|X|X|X|X|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|IV|N
30,Indiana Wants Me,R. Dean Taylor,1970-12-05,N|I|IV|I|IV|I|IV|I|IV|V|I|IV|V|IV|I|V|I|vi|VI|II|I|IV|V|bVII|IV|ii|V|I|IV|V|I|IV|V|IV|I|V|I|vi|VI|II|I|IV|V|bVII|IV|ii|V|I|IV|V|I|IV|V|V|I|IV|V|I|IV|V|IV|I|V|I|vi|VI|II|I|IV|V|bVII|IV|ii|V|I|IV|V|I|IV|V|IV|I|V|I|I|IV|V|I|IV|V|I|IV|V|I|IV|V|V|N
33,Crazy On You,Heart,1978-02-11,X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|III|X|V|N|iv|V|N|i|VI|i|VI|VII|VII|i|VI|i|VI|VII|i|VII|VI|VI|i|III|iv|V|i|III|iv|V|V|i|IV|IV|i|IV|IV|IV|iv|v|III|VI|iv|V|i|VI|VII|i|VI|VII|i|VII|VI|i|III|iv|V|i|III|iv|V|V|i|IV|IV|i|IV|IV|IV|iv|v|III|VI|iv|V|i|VI|VII|i|VI|VII|i|VII|VI|i|#vi7|IV|#iii|IV|#iii|IV|#iii|ii7|ii7|I|I|V|V|V|V7|i|VI|VII|i|VI|VII|i|VII|VI|i|III|iv|V|i|III|iv|V|i|VI|VII|i|VI|VII|i|VII|VI|i|VI|VII|i|VI|VII|i|VII|VI|VI|i|VI|VII|i|VI|VII|i|VII|VI|i|#vi7|IV|#iii|IV|#iii|IV|#iii|ii7|ii7|I|I|I|V|V|V|V7|i|VI|VII|i|VI|VII|i|VII|VI|i|i|N|N|N
34,If I Can't Have You,Yvonne Elliman,1978-03-04,N|N|N|v|v|vi|ii|ii|ii|vi|V|vi|bVII|IV|IV|IV|I|iv|I|V|IV|iv|I|iv|I|V|IV|V|IV|ii|IV|ii|X|vi|V|iii|vi|vi|V|iii|vi|v|v|vi|ii|ii|vi|V|vi|bVII|IV|IV|IV|I|iv|I|V|IV|iv|I|IV|ii|IV|II|IV|ii|X|vi|V|iii|vi|vi|V|iii|vi|vi|ii|vi|V|vi|bVII|IV|IV|IV|IV|vi|V|iii|vi|vi|V|iii|vi|vi|V|iii|vi|vi|V|iii|vi|vi|N
35,Freedom,Jimi Hendrix,1971-05-01,N|N|N|N|N|N|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|IV7|bVII7|bVII7|X|X|X|X|X|X|X|X|bVII7|bVII7|X|X|X|X|X|X|X|X|X|X|X|X|X|X|bVI7|X|X|X|X|X|I7|I7|X|X|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|I7|X|X|X|X|X|X|X|X|X|X|X|X|X|I7|I7|N|N|N|N
37,Foggy Mountain Breakdown,Flatt & Scruggs,1968-04-13,N|N|N|I|I|I|I|vi|vi|I|I|vi|vi|I|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|I|I|vi|vi|I|I|V7|V7|I|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|vi|vi|vi|I|vi|vi|vi|I|V7|V7|I|I|I|I|I|I|I|vi|vi|I|I|vi|vi|I|I|V7|V7|I|I|I|I|I|I|vi|vi|I|I|vi|vi|I|I|V7|V7|I|I|I|I|N|N|N
39,It's Only Rock 'N Roll (But I Like It),The Rolling Stones,1974-09-14,N|I|I|I|I|I|I|I|I|I|I|I|I|I|IV|bIII|I|I|I|I|I|I|I|I|I|IV|bIII|I|I|IV|IV|I|I|IV|IV|I|bVII|IV|I|IV|IV|I|I|IV|IV|bVII|IV|bVII|IV|I|I|I|I|I|I|I|I|I|I|IV|bIII|I|I|I|I|I|I|I|I|I|IV|bIII|I|I|IV|IV|I|I|IV|IV|I|bVII|IV|I|IV|IV|I|I|IV|IV|bVII|IV|bVII|IV|I|I|V|V|IV|IV|V|V|IV|IV|IV|I|I|I|I|I|I|I|I|IV|bIII|I|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|bVII|IV|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|IV|IV|I|I|I|N
40,The Power,Snap,1990-06-09,N|X|X|X|i|i|i|i|i|i|i|i|v|v|v|v|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|v|v|v|v|i|i|i|i|i|X|X|X|i|i|i|i|v|v|v|v|i|i|i|i|v|v|v|v|v|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i7|i7|i|i|i|X|X|X|i|i|i|i|v|v|v|v|i|i|i|i|v|v|v|v|i|i|N
41,Absolutely Right,Five Man Electrical Band,1971-11-06,N|I|IV|I|IV|IV|bVII|V|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|IV|I|IV|bVII|bIII|II|V7|V7|i|iv|bIII|I|I|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|bVII|bIII|II|V|V|I|IV|bVII|V|V|I|IV|bVII|V|I|IV|bVII|V|I|IV|bVII|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|bVII|bIII|II|V|I|IV|bVII|bIII|II|V|V|I|IV|I|IV|I|IV|bVII|IV|I|I|N|N|N
43,Two Hearts,Phil Collins,1989-02-25,N|N|N|IV|IV|V|I|IV|IV|V|I|I|II|I|II|I|II|I|II|II|I|II|I|II|I|II|I|II|ii|iii7|ii|X|ii|iii7|ii|X|IV|IV|V|I|IV|IV|V|I|I|I|II|I|II|I|II|I|II|II|I|II|I|II|I|II|I|II|ii|iii7|ii|X|ii|iii7|ii|X|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|I|bVI|bII|bVII|bIII|X|X|IIImaj7|bii7|biii7|#IV|bii7|bii7|biii7|X|IIImaj7|bii7|biii7|#IV|bii7|bii7|ii7|X|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|V|I|IV|IV|N
44,Some Like It Hot,The Power Station,1985-04-06,N|N|N|N|N|N|N|N|N|N|X|X|X|X|X|X|X|X|X|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|VI|VII|i|i|VI|VII|i|i|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|VI|VII|i|i|VI|VII|i|i|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|X|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|VI|VII|i|i|VI|VII|i|i|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|VI|X|i|i|i|i|i|i|i|i|i|i|i|i|i|i|i|N|N|N
46,I'll Take You There,The Staple Singers,1972-07-01,N|N|I|I|IV|I|I|IV|I|I|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|I|IV|X|X|N|N|N
49,People,Barbra Streisand,1964-08-08,N|N|N|N|ii7|X|X|Imaj7|X|Imaj7|X|Imaj7|Imaj7|X|X|III7|vi|vi|vi|vi|vi7|II7|Vmaj7|iii7|X|V|X|vi7|II7|N|N|ii7|V7|Imaj7|X|Imaj7|X|Imaj7|Imaj7|ii7|ii7|IV|IV|iii7|I|IVmaj7|IVmaj7|I|II7|Imaj7|vi7|ii7|V7|Imaj7|I7|IVmaj7|X|I|ii7|X|I|I7|IVmaj7|IVmaj7|iii7|I7|IVmaj7|IVmaj7|I|II7|Imaj7|vi7|Imaj7|I7|IVmaj7|X|I|ii7|bVI|I|I|I|N|N|N
50,Love Me Do,The Beatles,1964-07-11,N|I|IV|I|IV|I|IV|I|I|I|I|IV|I|IV|I|IV|IV|IV|IV|IV|I|IV|I|IV|IV|I|IV|I|IV|I|IV|IV|IV|IV|IV|I|IV|I|I|I|V|V|IV|I|V|V|IV|I|I|IV|I|IV|I|IV|IV|IV|IV|IV|I|IV|I|I|V|V|IV|I|V|V|IV|I|I|I|I|I|V|V|I|IV|I|IV|I|IV|IV|IV|IV|I|IV|I|IV|I|IV|I|IV|I|I|N
51,Carrie,Cliff Richard,1980-03-08,N|X|X|X|X|III|VII|X|VII|X|X|X|X|X|X|X|X|III|VII|X|VII|X|X|X|X|X|X|X|III|VII|X|VII|X|X|i|VII|i|VII|i|VII|VI|VII|bII|III|X|X|i|VII|i|VII|i|VII|i|VII|i|VII|VI|VII|bII|III|X|X|bII7|bII7|X|X|X|X|X|X|X|X|X|III|VII|X|VII|X|X|X|VII|VI|VII|VI|v|VI|VII|i|VII|i|VII|i|VII|i|VII|VI|VII|bII|III|X|X|X|i|VII|i|VII|VII|i|VII|i|VII|i|VII|VI|VII|bII|III|X|X|i|VII|i|VII|VII|i|VII|i|VII|i|VII|VI|VII|bII|III|X|X|bII|III|X|X|bII7|bII7|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|N|N|N
53,Over The Hills And Far Away,Led Zeppelin,1973-06-30,N|N|I|V|I|V|I|V|IV|I|bIII|IV|I|V|I|V|I|V|IV|I|V|I|V|I|V|V|I|V|I|V|I|V|IV|I|V|I|V|I|V|II|I|II|I|II|I|II|I|V|II|I|II|I|V|II|I|II|I|II|I|II|I|II|I|II|I|V|II|I|II|I|V|II|I|II|I|II|I|II|I|II|I|II|I|V|II|I|II|I|V|II|I|II|I|II|I|V|II|VI|I|V|II|VI|I|V|II|VI|VI|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|X|VII7|VII7|VII7|VII7|VII|VII|X|X|X|X|X|X|X|X|V|II|II|I|II|I|V|II|I|II|I|V|II|I|II|I|II|I|II|I|V|II|I|II|I|V|II|I|II|I|V|I|V|I|V|I|V|I|I|I|V|I|V|I|V|IV|I|bIII|IV|I|I|N|N|N
54,Last Kiss,J. Frank Wilson & The Cavaliers,1964-09-05,N|N|N|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|V|I|I|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|V|I|I|I|vi|IV|V|I|vi|IV|V|V|I|I|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|V|I|I|I|vi|IV|V|I|vi|IV|V|V|I|I|I|vi|IV|V|I|vi|IV|V|V|N
55,Smoking Gun,The Robert Cray Band,1987-03-07,N|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|iv7|iv7|i7|i7|iv7|iv7|X|X|X|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|iv7|iv7|i7|i7|iv7|iv7|X|X|X|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|iv7|iv7|i7|i7|iv7|iv7|X|X|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|iv7|iv7|i7|i7|iv7|iv7|X|X|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|iv7|iv7|i7|i7|iv7|iv7|X|X|X|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|i7|N
56,I Love You So,Bobbi Martin,1965-06-19,N|N|V7|V7|I|X|VI7|ii7|V7|I|X|ii|X|V7|V7|V7|I|X|VI7|ii7|V7|I|IV|I7|IV|IV|I|V7|I|IV|IV|II7|V7|V7|V7|V7|I|X|VI7|ii7|V7|I|IV|I|IV|IV|I|V7|I|IV|IV|II7|V7|V7|X|V7|V7|V7|I|X|VI7|ii7|ii7|ii7|V7|I|IV|iv|I|I|N|N|N
59,Is That All There Is,Peggy Lee,1969-10-11,N|N|N|V7|V7|I|I|V7|V7|I|I|IV|I|V|I|IV|I|V|VII|N|V7|V7|V7|V7|V7|X|X|V7|V7|i7|i7|IV7|i7|iii7|VIImaj7|VII|X|VII|#VI7|X|II7|II7|i7|iii7|i7|III|i7|iii7|VII|VII|i7|iii7|i7|III|i7|iii7|VII|VII|V7|V7|V7|V7|V7|X|X|V7|V7|i7|i7|IV7|i7|iii7|VIImaj7|VII|X|VII|#VI7|X|II7|II7|i7|iii7|i7|iii7|i7|iii7|VII|VII|i7|iii7|i7|iii7|i7|iii7|VIImaj7|VIImaj7|V7|V7|V7|V7|V7|X|X|V7|V7|i7|iii7|i7|iii7|i7|iii7|VII|VII|i7|iii7|i7|iii7|i7|iii7|VIImaj7|VIImaj7|V7|V7|V7|V7|V7|X|X|V7|V7|i7|i7|IV7|i7|iii7|VIImaj7|VII|X|VII|#VI7|X|II7|v|v|v|v|v|N
61,I Put A Spell On You,Creedence Clearwater Revival,1968-11-16,N|N|N|N|i|i|i|i|iv|i|i|iv|iv|V7|V7|i|i|iv|VI|i|V7|i|iv|V7|V7|i|iv|i|i|iv|iv|V7|V7|i|i|iv|VI|i|V7|i|iv|V7|VI|bII|VII|III|IV|i|iv|i|i|iv|iv|V7|V7|i|i|iv|VI|i|V7|i|iv|V7|VI|bII|VII|III|IV|IV|i|iv|i|i|iv|iv|V7|V7|i|i|iv|VI|i|V7|i|iv|V7|VI|VI|bII|VII|III|IV|i|i|i|N|N|N|N
